RSSD9001,RSSD9010,RSSD9348,RSSD9999
37,BANK OF HANCOCK CTY,0,20200331
242,FIRST CMNTY BK XENIA FLORA,3088643,20200331
279,MINEOLA CMNTY BK SSB,3619720,20200331
354,BISON ST BK,0,20200331
457,LOWRY ST BK,1127016,20200331
505,BALLSTON SPA NB,1048728,20200331
1155,FIRST ST BK & TR CO,1247231,20200331
1351,BANK OF GRANDIN,0,20200331
1454,HILLTOP NB,1054840,20200331
1669,LIBERTY NB,2465283,20200331
1856,WASHITA ST BK,0,20200331
2161,LAMAR NB,1136906,20200331
2732,ALBANY B&TC NA,1208933,20200331
2750,GENOA CMNTY BK,0,20200331
3252,FIRST NB OF GORDON,1050794,20200331
3403,ALLIED IRISH BKS NY BR,0,20200331
3458,FARMERS BK,1061165,20200331
3720,BANK OF CLARENDON,0,20200331
3971,MIDCOUNTRY BK,5281989,20200331
4156,KANZA BK,2325369,20200331
4231,FARMERS & MRCH BK,1863239,20200331
4512,CREDIT SUISSE NY BR,0,20200331
5069,FIRST CR BK,0,20200331
5135,FIRST ST BK OF BLAKELY,1139840,20200331
5210,ACNB BK,1117464,20200331
5461,BAC CMNTY BK,3033746,20200331
5751,KEARNY CTY BK,1061594,20200331
6039,PINELAND BK,1081622,20200331
6329,ANDERSON BROS BK,1138197,20200331
7009,BESSEMER TC,1246159,20200331
7045,PEOPLES BK,1130409,20200331
7072,WALLKILL VALLEY FS&LA,5117592,20200331
7456,BANK OF HARTINGTON,1063301,20200331
7634,FOUR CTY BK,1416457,20200331
8033,PEOPLES B&TC POINTE COUPEE PAR,1084883,20200331
8462,PERRYTON NB,2454773,20200331
8631,PLEASANTS CTY BK,2728447,20200331
9357,FIDELITY BK,3362923,20200331
9553,ADAMS CTY BK,1053870,20200331
9807,AMBOY BK,2611718,20200331
9955,FIRST ST B&TC,1062425,20200331
10250,BANK OF ELK RIVER,3027268,20200331
10849,FIRST ST BK,1491614,20200331
11145,LAKE-OSCEOLA ST BK,4764346,20200331
11640,FIRST NB OF CLARKSDALE,1097100,20200331
11837,FARMERS BK,1246252,20200331
12030,FNB SOUTH,1134041,20200331
12142,CLEVELAND ST BK,1913684,20200331
12311,HUNTINGTON NB,1068191,20200331
